의료기관종별,의료기관명,의료기관주소(도로명),의료기관전화번호,데이터기준일자
정신병원,의료법인벧엘의료재단 부산정신병원,"부산광역시 사하구 하신중앙로3번나길 10 (장림동, 부산정신병원)",051-263-8891,2025-02-11
한방병원,부산자생한방병원,"부산광역시 사하구 낙동남로 1427, 일성빌딩 6~9층 (하단동)",051-713-9730,2025-02-11
치과병원,굿윌치과병원,"부산광역시 사하구 낙동남로 1398, 13~17층 (하단동)",051-209-6000,2025-02-11
의원,뉴욕성형외과의원,"부산광역시 사하구 낙동남로 1414, 삼영빌딩 3층 (하단동)",051-902-9500,2025-02-11
의원,더블유의원,"부산광역시 사하구 낙동대로 472, 로타리산업빌딩 3(일부)층 (하단동)",051-791-0909,2025-02-11
의원,아이엠의원,"부산광역시 사하구 낙동대로 450, KH빌딩 701~801호 (당리동)",051-996-1000,2025-02-11
의원,장림다나아마취통증의학과의원,"부산광역시 사하구 장림번영로 40, 장림메디컬 6층 (장림동)",051-266-7579,2025-02-11
의원,셀렉트피부과의원,"부산광역시 사하구 낙동남로 1406, 3층 (하단동)",051-711-0440,2025-02-11
의원,바바성형외과의원,"부산광역시 사하구 낙동남로 1426, 3, 4(일부)층 (하단동)",051-205-9777,2025-02-11
의원,다대원이비인후과의원,"부산광역시 사하구 다대로 702, 6층 (다대동)",051-265-7555,2025-02-11
의원,하단튼튼정형외과의원,부산광역시 사하구 낙동남로 1406 (하단동),051-715-7555,2025-02-11
의원,사하더바른마취통증의학과의원,"부산광역시 사하구 다대로 234, 301, 302호 (장림동)",051-266-7888,2025-02-11
의원,곽재활의학과의원,"부산광역시 사하구 낙동남로 1412, 경부빌딩 15층 (하단동)",051-713-2000,2025-02-11
의원,리앤킴이비인후과의원,"부산광역시 사하구 낙동대로 248, 우리메디칼센터 5층 (괴정동)",051-206-3807,2025-02-11
의원,서울성모내과의원,"부산광역시 사하구 다대로 694, 6층 (다대동)",051-262-8575,2025-02-11
의원,하단밝은안과의원,"부산광역시 사하구 낙동남로 1409, 정우엠타워 5층 (하단동)",051-710-1409,2025-02-11
의원,다대정신건강의학과의원,"부산광역시 사하구 다대로 550, 2층 202호 (다대동)",051-715-0451,2025-02-11
의원,늘가까운비뇨의학과의원,"부산광역시 사하구 낙동대로 214, 2층 (괴정동)",051-202-2020,2025-02-11
의원,사하봄내과의원,"부산광역시 사하구 다대로 234, 4층 (장림동)",051-266-2456,2025-02-11
의원,행복한가정의학과의원,"부산광역시 사하구 다대로 473, 상가1동 5층 6-1호 (다대동, 다대포현대아파트)",051-266-1614,2025-02-11
의원,장구락척정형외과의원,"부산광역시 사하구 장림번영로 59, 1,8,9층 (장림동)",051-261-3001,2025-02-11
의원,참바른마취통증의학과의원,"부산광역시 사하구 낙동대로 406, 청아빌딩 3층 (당리동)",051-202-9988,2025-02-11
의원,건강내과의원,"부산광역시 사하구 동매로 167, 2층 (당리동)",051-710-7445,2025-02-11
의원,사하튼튼소아청소년과의원,"부산광역시 사하구 다대로 302, 4,5,7,8층 (장림동)",051-992-1000,2025-02-11
의원,이안내과의원,"부산광역시 사하구 사하로 200, 3층 301호 (괴정동)",051-985-1234,2025-02-11
의원,바로그의원,"부산광역시 사하구 낙동남로 1412, 경부빌딩 9층 (하단동)",051-202-8272,2025-02-11
의원,우리이비인후과의원,"부산광역시 사하구 장림번영로 40, 3층 (장림동)",051-265-5858,2025-02-11
의원,삼성센텀정형외과의원,"부산광역시 사하구 낙동대로 448, 2층 (당리동)",051-271-7575,2025-02-11
의원,리즈모의원,"부산광역시 사하구 낙동남로 1389, 11층 (하단동)",051-715-0788,2025-02-11
의원,괴정아나파마취통증의학과의원,"부산광역시 사하구 낙동대로 219, 2층 (괴정동)",051-291-7582,2025-02-11
의원,호돌이소아청소년과의원,"부산광역시 사하구 장림번영로 40, 5층 (장림동)",051-791-0688,2025-02-11
의원,올바른정형외과의원,"부산광역시 사하구 다대로 544, 진요빌딩 1층 105,106,107,108호 (다대동)",051-266-8830,2025-02-11
의원,장림더큰내과의원,"부산광역시 사하구 장림번영로 40, 2층 (장림동)",051-262-8889,2025-02-11
의원,위드맘유갑외과의원,"부산광역시 사하구 낙동남로 1392, 2,6층 (하단동)",051-204-3500,2025-02-11
의원,청담진의원,"부산광역시 사하구 낙동남로 1389, 10층 (하단동)",051-715-2305,2025-02-11
의원,명인마취통증의학과의원,"부산광역시 사하구 낙동남로 1389, 4,5층 (하단동)",051-204-8277,2025-02-11
의원,위아래내과의원,"부산광역시 사하구 다대로 425, 5층 (다대동)",051-715-3500,2025-02-11
의원,다대안심내과의원,"부산광역시 사하구 다대로 556, 4,5,6층 (다대동)",051-261-7800,2025-02-11
의원,하라라성형외과의원,"부산광역시 사하구 낙동남로 1400, 4층 402, 403호 (하단동)",051-205-0325,2025-02-11
의원,이현석신경과의원,"부산광역시 사하구 낙동대로 450, 5,6층 (당리동)",051-715-5775,2025-02-11
의원,탑정형외과의원,"부산광역시 사하구 사하로 200, 6층 (괴정동)",051-987-0123,2025-02-11
의원,화인마취통증의학과의원,"부산광역시 사하구 낙동남로 1412, 경부빌딩 6층 (하단동)",051-717-3711,2025-02-11
의원,엘여성의원,"부산광역시 사하구 낙동남로 1400, 5층 (하단동)",051-207-2727,2025-02-11
의원,신세계산부인과의원,"부산광역시 사하구 다대로 259, 2층 (장림동)",051-260-9000,2025-02-11
의원,사하신경외과의원,"부산광역시 사하구 낙동대로 161, 지하1층일부지상1층 (괴정동)",051-203-1302,2025-02-11
의원,순이비인후과의원,"부산광역시 사하구 사하로 201, 3층 (괴정동)",051-204-5007,2025-02-11
의원,편한마디 연합의원,"부산광역시 사하구 다대로 702, 3층 (다대동)",051-263-8889,2025-02-11
의원,류정신건강의학과 의원,"부산광역시 사하구 낙동대로 447, 6층 (하단동)",051-204-7583,2025-02-11
의원,김평주정신건강의학과의원,"부산광역시 사하구 낙동대로 455, 4층 (하단동)",051-204-6888,2025-02-11
의원,김동진정신건강의학과의원,"부산광역시 사하구 다대로 547, 4층 (다대동)",051-263-0911,2025-02-11
의원,양내과의원,부산광역시 사하구 낙동대로 447 (하단동),051-271-8875,2025-02-11
의원,늘푸른내과의원,"부산광역시 사하구 다대로 263, 6층 601호 (장림동)",051-715-7790,2025-02-11
의원,김영미정신건강의학과의원,"부산광역시 사하구 낙동남로 1414, 삼영빌딩 9층 (하단동)",051-975-7575,2025-02-11
의원,속e편한내과의원,부산광역시 사하구 서포로30번길 9 (구평동),051-7118285,2025-02-11
의원,비에스(BS)숨이비인후과성형외과의원,"부산광역시 사하구 낙동남로 1412, 7층 일부, 8층 전부, 11층 전부 (하단동)",051-710-7579,2025-02-11
의원,괴정참재활의학과의원,"부산광역시 사하구 사하로 193, 지상2,3층 (괴정동)",051-291-8275,2025-02-11
의원,온누리마취통증의학과의원,부산광역시 사하구 낙동대로 218 (괴정동),051-711-3120,2025-02-11
의원,바른마취통증의학과의원,부산광역시 사하구 다대로 550 (다대동),051-714-0725,2025-02-11
의원,경희산부인과의원,부산광역시 사하구 다대로 321 (장림동),051-714-0085,2025-02-11
의원,득정형외과의원,부산광역시 사하구 다대로 302 (장림동),051-262-7500,2025-02-11
의원,삼성제일신경외과의원,"부산광역시 사하구 사하로 201, 6층 (괴정동)",051-715-7535,2025-02-11
의원,류마리스내과의원,부산광역시 사하구 낙동대로 466 (하단동),051-205-8275,2025-02-11
의원,코아이비인후과의원,"부산광역시 사하구 다대로 550, 3층 (다대동)",051-265-0119,2025-02-11
의원,신봉철내과의원,"부산광역시 사하구 사하로 184, 2층 (괴정동)",051-271-5520,2025-02-11
의원,the속시원내과의원,"부산광역시 사하구 다대로 550, 5층 (다대동)",051-265-2468,2025-02-11
의원,선정형외과의원,"부산광역시 사하구 사하로 184, 3-4층 (괴정동)",051-204-0600,2025-02-11
의원,서부산성모안과의원,"부산광역시 사하구 낙동남로 1417, 8.9층 (하단동)",051-206-2004,2025-02-11
의원,OK의원,"부산광역시 사하구 낙동대로 416, 5-8층 (당리동)",051-204-7775,2025-02-11
의원,하단속시원내과의원,"부산광역시 사하구 낙동대로 444, 3-4층 (당리동)",051-204-2011,2025-02-11
의원,유앤갑외과의원,"부산광역시 사하구 낙동남로 1417, 10층 (하단동)",051-291-6075,2025-02-11
의원,신동기정형외과의원,"부산광역시 사하구 다대로429번길 15, 5층 (다대동)",051-262-1116,2025-02-11
의원,무통마취통증의학과의원,"부산광역시 사하구 다대로 425, 4층 (다대동)",051-266-5818,2025-02-11
의원,윤종주정형외과.조현정내과의원,"부산광역시 사하구 낙동남로 1417, 3,4층 (하단동)",051-714-7105,2025-02-11
의원,박민성정신건강의학과의원,"부산광역시 사하구 낙동남로 1417, 6층 (하단동)",051-203-5400,2025-02-11
의원,편안마취통증의학과의원,"부산광역시 사하구 낙동남로 1417, 6층 (하단동)",051-207-9300,2025-02-11
의원,연세우리마취통증의학과의원,"부산광역시 사하구 낙동대로 454, 2층 (당리동)",051-203-2240,2025-02-11
의원,장림연합의원,부산광역시 사하구 하신중앙로22번길 9 (장림동),051-266-4499,2025-02-11
의원,아이웰이홍영안과의원,부산광역시 사하구 낙동대로 205 (괴정동),051-203-9661,2025-02-11
의원,그린비뇨기과의원,"부산광역시 사하구 장림번영로 38-1, 4층 (장림동)",051-261-7845,2025-02-11
의원,참여성의원,"부산광역시 사하구 낙동남로 1409, 12층 (하단동, 정우엠타워)",051-291-0600,2025-02-11
의원,이룸여성의원,"부산광역시 사하구 낙동남로 1417, 10~11층 (하단동)",051-803-2616,2025-02-11
의원,예함내과의원,부산광역시 사하구 다대로 576 (다대동),051-265-8225,2025-02-11
의원,나비유박외과의원,부산광역시 사하구 낙동대로 363 (당리동),051-997-6075,2025-02-11
의원,다인의원,"부산광역시 사하구 다대로 279, 금천빌딩 3층 (장림동)",051-714-3341,2025-02-11
의원,강남미의원,"부산광역시 사하구 다대로429번길 5, 602호 (다대동)",051-917-8800,2025-02-11
의원,미소의원,부산광역시 사하구 낙동대로 245 (괴정동),051-292-6688,2025-02-11
의원,서울그린의원,부산광역시 사하구 다대로 473 (다대동),051-261-8275,2025-02-11
의원,맑은정신건강의학과 의원,부산광역시 사하구 낙동남로 1392 (하단동),051-291-7755,2025-02-11
의원,문정환이비인후과의원,부산광역시 사하구 다대로 279 (장림동),051-266-1111,2025-02-11
의원,서울성모의원,부산광역시 사하구 낙동대로 225 (괴정동),051-292-5432,2025-02-11
의원,하단성모안과의원,"부산광역시 사하구 낙동대로 448, 5층 (당리동, 하단메디칼센타)",051-791-0075,2025-02-11
의원,홍인내과 의원,"부산광역시 사하구 다대로 3, 2,3층 (당리동)",051-206-6700,2025-02-11
의원,모태규 내과의원,"부산광역시 사하구 낙동대로 212, 2층 (괴정동)",051-202-8297,2025-02-11
의원,이본의원,"부산광역시 사하구 낙동대로 451, 9층 (하단동, 금동빌딩)",051-202-0060,2025-02-11
의원,큰나무정형외과의원,부산광역시 사하구 장평로 287 (신평동),051-208-1004,2025-02-11
의원,장내과의원,"부산광역시 사하구 다대로429번길 5, 3,4층 (다대동)",051-264-7575,2025-02-11
의원,부산안과의원,"부산광역시 사하구 낙동대로 248, 3층 (괴정동, 우리메디칼센터)",051-247-2288,2025-02-11
의원,박성욱피부과의원,"부산광역시 사하구 낙동남로 1424, 동원빌딩 6층 (하단동)",051-204-8275,2025-02-11
의원,생각나는이비인후과의원,부산광역시 사하구 하신번영로 199 (신평동),051-201-5656,2025-02-11
의원,사랑가득안과의원,"부산광역시 사하구 낙동남로 1412, 4층 (하단동, 경부빌딩)",051-291-0015,2025-02-11
의원,한사랑내과의원,"부산광역시 사하구 하신중앙로 184, 2층 204호 (신평동)",051-207-8080,2025-02-11
의원,삼성내과엠알영상의학과의원,"부산광역시 사하구 낙동남로 1392, 3,4,8~12층 (하단동)",051-208-5566,2025-02-11
의원,박가정의학과의원,부산광역시 사하구 제석로 68 (당리동),051-747-2283,2025-02-11
의원,장사랑내과영상의학과의원,"부산광역시 사하구 낙동대로 438, 2,3,5층 (당리동, 한국메디칼)",051-207-1088,2025-02-11
의원,조이비뇨기과의원,"부산광역시 사하구 낙동대로 438, 4층 (당리동)",051-203-7582,2025-02-11
의원,강기영가정의학과의원,"부산광역시 사하구 다대낙조2길 100, 309,310호 (다대동, 롯데캐슬몰운대아파트주상가)",051-265-8122,2025-02-11
의원,김현정신건강의학과의원,"부산광역시 사하구 낙동대로 466, 6층 (하단동, 하단오피스)",051-201-0250,2025-02-11
의원,케이씨에스부산수흉부외과의원,"부산광역시 사하구 낙동남로 1414, 4층 (하단동, 삼영빌딩)",051-292-7061,2025-02-11
의원,아름다운피부과의원,"부산광역시 사하구 낙동대로 466, 5층 (하단동, 하단오피스)",051-204-8114,2025-02-11
의원,서화참의원,부산광역시 사하구 낙동대로 252 (괴정동),051-292-5525,2025-02-11
의원,예함정형외과의원,"부산광역시 사하구 다대로 576, 1,2,5층 (다대동)",051-266-1400,2025-02-11
의원,뉴본여성의원,"부산광역시 사하구 낙동대로 234, 2~7, 10층 (괴정동, 조일빌딩)",051-291-7777,2025-02-11
의원,참조은이비인후과의원,"부산광역시 사하구 감천로 59, 2층 (감천동)",051-204-4600,2025-02-11
의원,성심의원,"부산광역시 사하구 하신번영로167번길 31, 2층 (신평동)",051-631-7582,2025-02-11
의원,김형권내과의원,"부산광역시 사하구 장림번영로 23, 2층 (장림동)",051-263-0675,2025-02-11
의원,밝은이안과의원,"부산광역시 사하구 다대로 279, 2층 (장림동)",051-266-7070,2025-02-11
의원,조승배의원,"부산광역시 사하구 옥천로 14, 1층 (감천동)",051-293-7557,2025-02-11
의원,강남의원,부산광역시 사하구 하신중앙로 46 (장림동),051-265-7900,2025-02-11
의원,하단마취통증의학과의원,"부산광역시 사하구 낙동대로 440, 3층 (당리동, 향원빌딩)",051-900-7582,2025-02-11
의원,우정훈 정신건강의학과의원,"부산광역시 사하구 낙동대로216번길 3, 1층 (괴정동, 신화프라자)",051-293-7566,2025-02-11
의원,새힘정형외과의원,"부산광역시 사하구 하신번영로 183, 2,3,5,6층 (신평동)",051-293-7582,2025-02-11
의원,의료법인열린의료재단 초록의원,"부산광역시 사하구 낙동대로 230, 수민빌딩 4,5층 (괴정동)",051-715-9306,2025-02-11
의원,성모안과의원,"부산광역시 사하구 다대로 550, 4층 (다대동)",051-264-8081,2025-02-11
의원,천마의원,부산광역시 사하구 옥천로 73-1 (감천동),051-202-3375,2025-02-11
의원,김은영내과의원,"부산광역시 사하구 낙동남로 1389, 6,7층 (하단동)",051-202-7722,2025-02-11
의원,다대정내과의원,부산광역시 사하구 다대로 547 (다대동),051-263-0232,2025-02-11
의원,원마취통증의학과의원,"부산광역시 사하구 낙동대로 213, 6층 (괴정동)",051-208-8800,2025-02-11
의원,한마음정형외과의원,부산광역시 사하구 낙동대로 410 (당리동),051-205-7776,2025-02-11
의원,압구정날씬의원,"부산광역시 사하구 낙동대로 448, 8층 (당리동, 하단메디칼센타)",051-202-0075,2025-02-11
의원,배주한피부과의원,"부산광역시 사하구 낙동대로 213, 4층 (괴정동)",051-204-7870,2025-02-11
의원,동아마취통증의학과의원,"부산광역시 사하구 낙동대로 445, 7층 (하단동)",051-203-0711,2025-02-11
의원,서희내과의원,"부산광역시 사하구 다송로 2, 4층 (다대동)",051-266-5789,2025-02-11
의원,에이스비뇨기과의원,"부산광역시 사하구 감천로 55, 3층 (감천동)",051-294-9696,2025-02-11
의원,박은선산부인과의원,"부산광역시 사하구 사하로 201, 2층 (괴정동)",051-291-1212,2025-02-11
의원,더본정형외과의원,"부산광역시 사하구 다대로 263, 5층 (장림동)",051-264-8010,2025-02-11
의원,김사웅내과의원,"부산광역시 사하구 하신번영로 199, 2층 (신평동, 신평메디칼)",051-206-3806,2025-02-11
의원,도원소아청소년과의원,부산광역시 사하구 다대로 381 (다대동),051-266-8252,2025-02-11
의원,으뜸24정형외과의원,부산광역시 사하구 낙동대로 428 (당리동),051-201-3119,2025-02-11
의원,임홍섭내과의원,"부산광역시 사하구 낙동대로 205, 2층 (괴정동)",051-294-8575,2025-02-11
의원,심영웅내과의원,부산광역시 사하구 낙동대로 400 (당리동),051-207-7235,2025-02-11
의원,영광내과의원,"부산광역시 사하구 낙동대로 275, 4층 (괴정동)",051-204-3119,2025-02-11
의원,프라임비뇨기과의원,"부산광역시 사하구 낙동대로 448, 4층 (당리동)",051-294-9119,2025-02-11
의원,안영민이비인후과의원,"부산광역시 사하구 다대로 425, 2층 (다대동)",051-266-3800,2025-02-11
의원,임권일신경과의원,"부산광역시 사하구 낙동남로 1400, 6층 601호 (하단동)",051-202-1917,2025-02-11
의원,이원외신경외과의원,부산광역시 사하구 장림번영로 44 (장림동),051-265-1233,2025-02-11
의원,문화신경외과의원,부산광역시 사하구 감천로 122 (감천동),051-205-4525,2025-02-11
의원,한주의원,"부산광역시 사하구 낙동대로 197-1, 1~3층 (괴정동)",051-291-5400,2025-02-11
의원,부산내과의원,부산광역시 사하구 낙동대로 449 (하단동),051-291-9550,2025-02-11
의원,괴정제일정형외과의원,"부산광역시 사하구 낙동대로 170, 2~7층 (괴정동)",051-205-6118,2025-02-11
의원,최홍주소아청소년과의원,부산광역시 사하구 제석로 56 (당리동),051-293-0873,2025-02-11
의원,박종남내과의원,부산광역시 사하구 장평로 298 (신평동),051-206-0073,2025-02-11
의원,부산의원,"부산광역시 사하구 감천로 46, 2층 (감천동)",051-293-1013,2025-02-11
의원,맥피부과의원,부산광역시 사하구 낙동대로 209 (괴정동),051-204-8400,2025-02-11
의원,박양희산부인과의원,"부산광역시 사하구 낙동대로 442, 2층 (당리동)",051-202-2626,2025-02-11
의원,박영수비뇨기과의원,"부산광역시 사하구 낙동대로 453, 3층 (하단동)",051-291-5732,2025-02-11
의원,명이비인후과의원,부산광역시 사하구 낙동대로 399 (당리동),051-202-1316,2025-02-11
의원,김광락피부과의원,"부산광역시 사하구 낙동남로 1417, 7층 (하단동)",051-205-2390,2025-02-11
의원,한빛내과의원,부산광역시 사하구 신산로 197 (신평동),051-208-8666,2025-02-11
의원,김연기이비인후과의원,부산광역시 사하구 다대로 636 (다대동),051-262-4462,2025-02-11
의원,박상조소아청소년과의원,"부산광역시 사하구 하신중앙로 184, 111호 (신평동)",051-202-5508,2025-02-11
의원,괴정학문외과의원,부산광역시 사하구 낙동대로 230 (괴정동),051-293-7175,2025-02-11
의원,정진모정형외과의원,"부산광역시 사하구 다대로 541, 2,4층 (다대동, 삼정메디컬센터)",051-263-0311,2025-02-11
의원,성명식내과의원,"부산광역시 사하구 낙동대로 237, 3층 (괴정동)",051-201-5710,2025-02-11
의원,삼성안과의원,"부산광역시 사하구 낙동대로 454, 3층 (당리동)",051-204-2275,2025-02-11
의원,임명규피부과의원,"부산광역시 사하구 다대로 550, 3층 (다대동)",051-266-5885,2025-02-11
의원,이상훈소아청소년과의원,부산광역시 사하구 다대낙조1길 19 (다대동),051-265-8509,2025-02-11
의원,허재영내과의원,부산광역시 사하구 제석로 54 (당리동),051-207-6575,2025-02-11
의원,지상근내과의원,"부산광역시 사하구 낙동대로 162, 2층 (괴정동)",051-207-9862,2025-02-11
의원,신효경소아청소년과의원,부산광역시 사하구 다대로 636 (다대동),051-262-4411,2025-02-11
의원,장기형내과의원,"부산광역시 사하구 낙동대로 248, 7층 (괴정동, 우리메디칼센터)",051-203-9338,2025-02-11
의원,권용후비뇨기과의원,부산광역시 사하구 다대로 547 (다대동),051-266-1551,2025-02-11
의원,영진의원,"부산광역시 사하구 사하로 184-4, 2,3,4층 (괴정동)",051-293-6510,2025-02-11
의원,이일두내과의원,부산광역시 사하구 하신번영로 360 (하단동),051-204-0062,2025-02-11
의원,전형관외과의원,부산광역시 사하구 다대로 549 (다대동),051-263-1661,2025-02-11
의원,선명안과의원,부산광역시 사하구 낙동대로 245 (괴정동),051-207-1829,2025-02-11
의원,이광호성형외과의원,부산광역시 사하구 낙동대로 218 (괴정동),051-208-2888,2025-02-11
의원,박성기소아청소년과의원,"부산광역시 사하구 하신번영로 233, 227동 201~203호 (하단동, 가락타운2단지아파트상가)",051-291-1129,2025-02-11
의원,최경희내과의원,"부산광역시 사하구 다대로 271, 2층 (장림동)",051-265-9240,2025-02-11
의원,백천피부과의원,"부산광역시 사하구 낙동대로 212, 4층 (괴정동)",051-204-1204,2025-02-11
의원,정철호이비인후과의원,"부산광역시 사하구 다대로 549, 4층 (다대동)",051-265-6838,2025-02-11
의원,오일준이비인후과의원,"부산광역시 사하구 낙동대로 212, 3층 (괴정동)",051-202-7191,2025-02-11
의원,박기현이비인후과의원,부산광역시 사하구 낙동남로 1392 (하단동),051-205-8988,2025-02-11
의원,이태경피부과의원,"부산광역시 사하구 낙동대로 448, 6층 (당리동, 하단메디칼센타)",051-202-3272,2025-02-11
의원,박상희내과의원,부산광역시 사하구 다대로 555 (다대동),051-263-9869,2025-02-11
의원,감천의원,부산광역시 사하구 옥천로 37 (감천동),051-202-6124,2025-02-11
의원,추성의원,부산광역시 사하구 승학로 151-2 (괴정동),051-208-4338,2025-02-11
의원,손계학소아청소년과의원,부산광역시 사하구 낙동대로 325 (괴정동),051-208-7575,2025-02-11
의원,조경숙가정의학과소아청소년과의원,부산광역시 사하구 하신중앙로 300-1 (하단동),051-292-9156,2025-02-11
의원,장검현소아청소년과의원,부산광역시 사하구 장평로 445 (괴정동),051-206-9977,2025-02-11
의원,백승우안과의원,부산광역시 사하구 다대로 255 (장림동),051-264-0030,2025-02-11
의원,장림연세내과의원,부산광역시 사하구 장림번영로 43 (장림동),051-262-7575,2025-02-11
의원,이정윤성형외과의원,부산광역시 사하구 낙동대로 231 (괴정동),051-207-4590,2025-02-11
의원,하만철소아청소년과의원,부산광역시 사하구 다대로 559 (다대동),051-264-0090,2025-02-11
의원,이석용이비인후과의원,부산광역시 사하구 낙동대로 388 (당리동),051-207-3131,2025-02-11
의원,최원락내과의원,부산광역시 사하구 옥천로 5 (감천동),051-207-2700,2025-02-11
의원,시원한이비인후과의원,"부산광역시 사하구 낙동대로 448, 3층 (당리동, 하단메디칼센타)",051-202-3447,2025-02-11
의원,김종석소아청소년과의원,"부산광역시 사하구 다대로 437, 2층 (다대동)",051-261-9652,2025-02-11
의원,박치호의원,"부산광역시 사하구 낙동대로 447, 7층 (하단동)",051-203-2737,2025-02-11
의원,영인의원,부산광역시 사하구 다대로 133 (신평동),051-206-2060,2025-02-11
